"name","rank","spell_type","save_type","rarity","action_category","actions_min","actions_max","description","source_id"
"Mycological Malady","3","Focus","Fortitude","Uncommon","Activity","2","2","You infect your target with fungal spores to hasten the cycle of decay.",
"Personal Blizzard","3","Focus","Fortitude","Uncommon","Free","0","0","Your patron's breath becomes a blizzard of obscuring, scouring ice that follows your target.",
"Powerful Inhalation","3","Focus","None","Uncommon","Activity","2","2","You rapidly draw the air from your surroundings, hoarding it for yourself.",
"Pulverizing Cascade","3","Focus","None","Uncommon","Activity","2","2","You raise a pair of towering waves and slam them into each other, crushing creatures caught between them.",
"Qi Blast","3","Focus","Fortitude","Uncommon","Activity","3","3","You unleash your qi as a powerful blast that deals 2d6 force damage.",
"Ranger's Bramble","3","Focus","None","Uncommon","Activity","2","2","You cause plants in the area to entangle your foes, with the effects of _entangling flora_.",
"Return the Favor","3","Focus","None","Rare","Reaction","0","0","You're unable to leave any debts unpaid.",
"Sheltering Wings","3","Focus","None","Uncommon","Reaction","0","0","Like migratory birds, you know everyone flies farther together.",
"Shrink the Span","3","Focus","None","Uncommon","Free","0","0","The world seems to shrink before your footfalls.",
"Shroud of Flame","3","Focus","None","Uncommon","Activity","2","2","You encircle yourself in an aura of protective flames.",
"Spirit Veil","3","Focus","None","Uncommon","Activity","2","2","You draw an occluding veil of spirits around yourself, blocking yourself especially well from undead eyes.",
"Steal Shadow","3","Focus","Fortitude","Uncommon","Activity","2","2","You steal a creature's shadow, leaving it weakened and vulnerable.",
"Stone Lance","3","Focus","None","Uncommon","Activity","2","2","You conjure a jagged lance of stone and then launch it at a foe.",
"Subjugate Undead","3","Focus","Will","Uncommon","Activity","3","3","You attempt to seize control of the target undead.",
"Sun's Fury","3","Focus","None","Uncommon","Activity","2","2","The target weapon becomes wreathed in a glowing flame.",
"Swamp of Sloth","3","Focus","None","Uncommon","Activity","3","3","Ground in the area turns swampy and fetid.",
"Threatening Mimicry","3","Focus","Will","Uncommon","Activity","2","2","You appear larger and stronger to nearby creatures, appearing to possess threatening features like antlers, claws, or poison to their senses.",
"Thunderburst","3","Focus","Fortitude","Uncommon","Activity","2","2","You create a powerful blast of air and a loud peal of thunder, dealing 2d6 bludgeoning damage and 2d6 sonic damage.",
"Time Skip","3","Focus","None","Uncommon","Free","0","0","You manipulate time around your ally, pushing them forward a few moments in time.",
"Unblinking Flame Revelation","3","Focus","None","Uncommon","Free","0","0","Suppress illusions on your target.",
"Unbreaking Wave Advance","3","Focus","Fortitude","Uncommon","Free","0","0","Unleash a blast of water to push back foes.",
"Unfolding Wind Rush","3","Focus","None","Uncommon","Free","0","0","Run across the wind.",
"Untwisting Iron Buffer","3","Focus","None","Uncommon","Free","0","0","Gain temporary hit points.",
"Warning Stripes","3","Focus","None","Uncommon","Free","0","0","Your skin becomes painted with vivid stripes or bright aposematic swirls, warning other creatures of its toxic qualities.",
"Whirling Flames","3","Focus","None","Uncommon","Activity","2","2","#VALUE!",
"Achaekek's Clutch","4","Focus","Will","Rare","Activity","2","2","You mark the holy symbol of Achaekek in a visible location on the targetâ€™s body.",
"Adaptive Ablation","4","Focus","None","Common","Reaction","0","0","You shift yourself to adapt to the mystical wavelengths of the energy damage, protecting yourself from further harm.",
"Artistic Flourish","4","Focus","None","Uncommon","Activity","2","2","You transform the target into a form that more closes matches your creative vision.",
"Asterism","4","Focus","None","Common","Activity","3","3","Lines of burning starlight form a constellation around you.",
"Bottle the Storm","4","Focus","None","Common","Reaction","0","0","When lightning is turned at you, you store the charge safely within yourself, unleashing it when the time is right.",
"Captivating Adoration","4","Focus","Will","Uncommon","Activity","2","2","You become intensely entrancing, and creatures are distracted by you as long as they remain within the area.",
"Clinging Shadows Stance","4","Focus","None","Uncommon","Free","0","0","You adopt the stance of clinging shadows.",
"Commanding Lash","4","Focus","Will","Uncommon","Free","0","0","With the threat of more pain, you compel a creature you've recently harmed.",
"Community Restoration","4","Focus","None","Uncommon","Reaction","0","0","When you use your magic to support your allies, shared strength bolsters you all.",
"Competitive Edge","4","Focus","None","Uncommon","Free","0","0","Your competitiveness drives you to prove yourself against the opposition.",
"Confront Selves","4","Focus","Will","Uncommon","Activity","2","2","You show the target the spiraling web of actions and consequences that is their life and the changes wrought by these decisions upon themselves and those around them.",
"Darkened Sight","4","Focus","None","Uncommon","Activity","2","2","You infuse a creature's vision with darkness.",
"Debilitating Dichotomy","4","Focus","Will","Uncommon","Activity","2","2","You reveal a glimpse of the impossible conflicts between the divine anathema behind your curse, forcing you to reckon with another's conflicts as well.",
"Delusional Pride","4","Focus","Will","Uncommon","Activity","2","2","You make the target overconfident, leading it to ascribe failure to external factors.",
"Destructive Aura","4","Focus","None","Uncommon","Activity","2","2","Swirling sands of divine devastation surround you, weakening the defenses of all they touch.",
"Diamond Dust","4","Focus","None","Common","Activity","2","2","You supercool the nearby air, forming a cloud of dancing ice crystals in an emanation around you.",
"Dimensional Steps","4","Focus","None","Uncommon","Free","0","0","You teleport a short distance.",
"Disperse into Air","4","Focus","None","Uncommon","Reaction","0","0","After taking the triggering damage, you transform into air.",
"Door to Beyond","4","Focus","Fortitude","Common","Activity","2","2","Striking at thin air, you create hairline cracks in an unoccupied adjacent space that lead somewhere outside reality.",
"Downpour","4","Focus","None","Uncommon","Activity","2","2","You call forth a torrential downpour, which extinguishes non-magical flames.",
"Dread Aura","4","Focus","None","Uncommon","Activity","2","2","You emit an aura of terror.",
"Dreamer's Call","4","Focus","Will","Uncommon","Activity","2","2","You create a vivid, illusory daydream drawn from the images of the target's dreams.",
"Dust Storm","4","Focus","None","Common","Activity","2","2","You call forth a swirling storm of dust.",
"Dutiful Challenge","4","Focus","None","Common","Activity","2","2","As you challenge an enemy, you take some of its attention away from your allies.",
"Ectoplasmic Interstice","4","Focus","None","Common","Activity","2","2","You force the Material and Ethereal Planes to partially overlap, creating a zone that causes incorporeal and spiritual entities to take on many of the aspects of corporeal creatures.",
"Elemental Tempest","4","Focus","None","Uncommon","Free","0","0","Your spellcasting surrounds you in a storm of elemental energy.",
"Enduring Might","4","Focus","None","Uncommon","Reaction","0","0","Your own might mingles with divine power to protect you from harm.",
"Energy Absorption","4","Focus","None","Uncommon","Reaction","0","0","You're used to mitigating the damage done by bombs, siege engines, and magical artillery.",
"Ephemeral Hazards","4","Focus","None","Common","Activity","3","3","You create illusory hazards, such as spinning blades or a puddle of acid.",
"Eradicate Undeath","4","Focus","None","Uncommon","Activity","2","2","A massive deluge of life energy causes the undead to fall apart.",
"Euphoric Renewal","4","Focus","None","Rare","Activity","2","2","You view death not as an ending but a beginning, and you delight in dancing on its edge.",
"Fallow Field","4","Focus","Will","Common","Activity","2","2","A sickly yellow light fills the area as entropic forces prevent healing.",
"Familiar Form","4","Focus","None","Uncommon","Activity","2","2","You transform into a Tiny animal that commonly serves as a spellcaster's familiar.",
"Fearful Feast","4","Focus","Will","Uncommon","Reaction","0","0","You open your mouth wide and inhale sharply; you draw in the bravery, self-confidence, and hope to which the frightened target clings and then strip away the target's false assumption that these fragile emotions can save them from the oblivion of terror.",
"Flame Barrier","4","Focus","None","Uncommon","Reaction","0","0","You swiftly deflect incoming flames.",
"Font of Serenity","4","Focus","None","Common","Activity","2","2","A divine beacon radiates serenity, soothing nearby allies.",
"Fortissimo Composition","4","Focus","None","Uncommon","Activity","1","1","You call upon your muse to greatly increase the benefits you provide with your courageous anthem, rallying anthem, or song of strength composition.",
"Foul Miasma","4","Focus","Will","Common","Activity","2","2","You multiply the disease within a creature, drawing it into an infectious mist outside their body where it can spread to other creatures.",
"Ghostly Transcription","4","Focus","None","Common","Activity","2","2","Glowing letters assemble in the air, providing a transcription of the targetâ€™s speech in all languages you speak.",
"Glimpse the Truth","4","Focus","None","Uncommon","Free","0","0","Divine insight lets you see things as they are, unveiled by attempts to magically cloak the truth.",
"Inevitable Destination","4","Focus","None","Rare","Activity","2","2","You twist the paths of the target, ensuring that each one leads to you.",
"Interdisciplinary Incantation","4","Focus","None","Uncommon","Reaction","0","0","You gather the embers of another caster's spell, using your understanding of unified magic to pick apart their formulas and incantations well enough to imitate the spell yourself, if only for a short time.",
"Invisibility Cloak","4","Focus","None","Uncommon","Activity","2","2","You become invisible, with the same restrictions as the 2nd-rank _invisibility_ spell.",
"Isolation","4","Focus","Will","Rare","Activity","2","2","You summon a tangible manifestation of loneliness to cloak the target from view as surely as if it were wreathed in darkness.",
"Know the Enemy","4","Focus","None","Uncommon","Reaction","0","0","You quickly remind yourself of useful information.",
"Life Siphon","4","Focus","None","Uncommon","Reaction","0","0","You use some of the spellâ€™s magic to heal yourself.",
"Localized Quake","4","Focus","None","Uncommon","Activity","2","2","You shake the earth, toppling nearby creatures.",
"Lucky Break","4","Focus","None","Uncommon","Reaction","0","0","Reroll the saving throw and use the better result.",
"Malignant Sustenance","4","Focus","None","Uncommon","Activity","2","2","You embed a seed of void energy in an undead creature, restoring its unnatural vigor over time.",
"Mantis Form","4","Focus","None","Uncommon","Activity","2","2","You become a mantis.",
"Mystic Beacon","4","Focus","None","Uncommon","Free","0","0","The next damaging or healing spell the target casts before the start of your next turn deals damage or restores Hit Points as if the spell were heightened 1 rank higher than its actual rank.",
"Nature's Bounty","4","Focus","None","Uncommon","Free","0","0","A palm-sized raw fruit or vegetable of your choice appears in your open hand.",
"Ordained Purpose","4","Focus","None","Uncommon","Activity","2","2","You call upon the authority of cosmic forces of order, overwhelming creatures with remorse and agony for acting outside of their station and purpose.",
"Overflowing Sorrow","4","Focus","Will","Common","Activity","2","2","Sadness flows out of you into nearby creatures, blotting out any other thoughts they had.",
"Path of Least Resistance","4","Focus","None","Uncommon","Free","0","0","You trace several possible routes, quickly resetting the timeline until you find the safest one.",
"Perfected Body","4","Focus","None","Uncommon","Reaction","0","0","Your body's perfection keeps you just a little bit healthier than most.",
"Precious Metals","4","Focus","None","Uncommon","Free","0","0","Your deity blesses base metals to transform them into precious materials.",
"Protector's Sphere","4","Focus","None","Uncommon","Activity","2","2","A protective aura emanates out from you, safeguarding you and your allies.",
"Pulse of Civilization","4","Focus","None","Uncommon","Activity","2","2","You tap into the zeitgeist of any settlements in range.",
"Purifying Veil","4","Focus","None","Rare","Activity","2","2","Drawing on the purifying powers of water, you call forth a veil of fine water droplets suffused with holy energy.",
"Rebuke Death","4","Focus","None","Uncommon","Activity","3","3","You snatch creatures from the jaws of death, restoring them without the strain of a typical close call.",
"Remember the Lost","4","Focus","None","Common","Activity","2","2","You call upon the lost and forgotten, assailing your foesâ€™ minds with the memories of those who died with a grievance toward them.",
"Repel Metal","4","Focus","None","Uncommon","Reaction","0","0","You call forth a repelling field.",
"Retributive Pain","4","Focus","None","Uncommon","Reaction","0","0","You vengefully reflect your pain upon your tormentor.",
"Roar of the Wyrm","4","Focus","Will","Common","Activity","2","2","You channel the might of dragons into your voice, letting out a roar that engenders respect in dragonkind but that instills fear in most other creatures.",
"Rune of Observation","4","Focus","None","Uncommon","Free","0","0","You inscribe an invisible eye-shaped rune in the air, creating a sensor as _clairvoyance_.",
"Runic Impression","4","Focus","None","Uncommon","Free","0","0","Your unarmed attacks or weapon gain the benefits of a weapon rune you choose when you cast this spell.",
"Safeguard Secret","4","Focus","None","Uncommon","Activity","2","2","You ensure a secret remains safe from prying spies.",
"Shaken Confidence","4","Focus","Will","Rare","Reaction","0","0","You mock the target for all its failings, twisting its selfconfidence into doubt.",
"Shared Nightmare","4","Focus","Will","Uncommon","Activity","2","2","Merging minds with the target, you swap distressing visions.",
"Shifting Form","4","Focus","None","Uncommon","Free","0","0","You change your body to better suit the moment.",
"Shroud of the Mantis","4","Focus","None","Uncommon","Activity","2","2","You wrap yourself in a crimson cloak that renders you invisible.",
"Songbird's Call","4","Focus","None","Uncommon","Activity","2","2","Your voice calls a storm of songbirds that whirl around you and peck at your enemies.",
"Spiral of Horrors","4","Focus","None","Uncommon","Activity","2","2","Shades and spirits howl and whirl around you in a display that strikes fear into the hearts of all who witness it.",
"Stasis","4","Focus","Will","Common","Activity","2","2","The flow of time congeals around an object or creature, holding it in place.",
"Stormwind Flight","4","Focus","None","Uncommon","Activity","2","2","Powerful winds carry you through the air, giving you a fly Speed equal to your Speed.",
"Swarm Form","4","Focus","None","Common","Activity","2","2","You discorporate into a swarm of Tiny creatures.",
"Take its Course","4","Focus","Will","Uncommon","Activity","2","2","When someone has overindulged, you can hasten them past the worst of their affliction or intensify their misery.",
"Tempt Fate","4","Focus","None","Uncommon","Reaction","0","0","You twist the forces of fate to make a moment dire or uneventful, with no in-between.",
"Tireless Worker","4","Focus","None","Common","Activity","2","2","You suppress your choice of one of the following conditions that's affecting the target: clumsy, encumbered, enfeebled, or fatigued.",
"Touch of the Moon","4","Focus","None","Uncommon","Free","0","0","When you touch the target, a symbol of the moon appears on its forehead, glowing with soft moonlight.",
"Transcribe Moment","4","Focus","None","Uncommon","Activity","2","2","You instantly create a small, permanent scroll that contains a magically precise written description of your current surroundings in every direction.",
"Traveler's Transit","4","Focus","None","Uncommon","Activity","2","2","You add power to your muscles, allowing you to swim or climb walls with ease.",
"Trickster's Twin","4","Focus","Will","Uncommon","Activity","2","2","You rarely settle for being in just one place.",
"Unity","4","Focus","None","Uncommon","Reaction","0","0","You put up a united defense.",
"Vital Luminance","4","Focus","None","Uncommon","Free","0","0","Drawing life force into yourself, you become a beacon of vitality.",
"Waking Dream","4","Focus","Will","Common","Activity","2","2","You cloud the target's mind with vivid, dreamlike imagery, so they have difficulty distinguishing real threats from imagined ones.",
"Weaponize Secret","4","Focus","Will","Rare","Activity","2","2","You understand that holding a secret is in itself a kind of power.",
"Wild Winds Stance","4","Focus","None","Uncommon","Free","0","0","You take on the stance of the flowing winds, sending out waves of energy at a distance.",
"Wind Whispers","4","Focus","None","Rare","Activity","1","1","You call forth numerous breezes in which you weave gossip, whispering subtly into the ears of those around.",
"Wood Walk","4","Focus","None","Uncommon","Activity","2","2","Wood shapes itself according to your will readily, making staircases appear as you climb up the side of a tree, automatically weaving vines into ladders, or lowering branches to lift you up to the top.",
"Word of Freedom","4","Focus","None","Uncommon","Free","0","0","You utter a liberating word of power that frees a creature.",
"Wordsmith","4","Focus","None","Rare","Activity","3","3","You're a devotee of knowledge with an unmatched command of the language used to spread that knowledge, and you can reshape the written word into a form more understandable to your audience.",
"Zeal for Battle","4","Focus","None","Uncommon","Reaction","0","0","You stoke the righteous anger within yourself and an ally.",
"Arcane Countermeasure","5","Focus","None","Uncommon","Reaction","0","0","You undermine the target spell, making it easier to defend against.",
"Celestial Brand","5","Focus","None","Uncommon","Free","0","0","A blazing symbol appears on the target, cursing it to face divine justice.",
"Chthonian Wrath","5","Focus","None","Uncommon","Activity","2","2","You evoke the energy of a part of the Outer Rifts.",
"Cleansing Flames","5","Focus","None","Uncommon","Activity","2","2","You wrap the target in purifying flames.",
"Consuming Darkness","5","Focus","Reflex","Uncommon","Activity","2","2","Your shadow wriggles before spreading out from you, forming a gateway of clinging, consuming shadow through which the horrors of another plane can barely be seen.",
"Curse of Death","5","Focus","Fortitude","Uncommon","Activity","2","2","Your patron wraps a hand around your target's heart.",
"Dance of Darkness","5","Focus","None","Uncommon","Activity","2","2","You dance, Striding up to half your Speed.",
"Dragon Wings","5","Focus","None","Uncommon","Activity","2","2","Leathery wings sprout from your back, giving you a fly Speed of 60 feet or your Speed, whichever is faster.",
"Elemental Blast","5","Focus","None","Uncommon","Activity","2","2","You gather elemental energy and blast your foes in one of the various listed shapes of your choosing, dealing 8d6 damage.",
"Establish Ward","5","Focus","None","Uncommon","Activity","2","2","You bind a part of your essence to your surroundings, creating a warded area that grants you power within it, but drains you outside of it.",
"Fey Glamour","5","Focus","None","Uncommon","Activity","2","2","You call upon fey glamours to cloak an area or the targets in illusion.",
"Glacial Heart","5","Focus","Fortitude","Rare","Activity","2","2","Ice and bone-deep cold assail the target, freezing it from the inside out.",
"Gluttonous Growth","5","Focus","None","Uncommon","Activity","2","2","Plants in the area grow rapidly, taking on carnivorous characteristics as they seek to consume prey.",
"Grasping Grave","5","Focus","Reflex","Uncommon","Activity","2","2","Hundreds of skeletal arms erupt from the ground in the area, clawing at creatures within and attempting to hold them in place.",
"Hellfire Plume","5","Focus","None","Uncommon","Activity","2","2","You call forth a plume of hellfire that erupts from below",
"Hunter's Vision","5","Focus","None","Uncommon","Free","0","0","Your target glows with a magical aura visible only to you and those who follow your lead.",
"Litany against Sloth","5","Focus","Will","Uncommon","Free","0","0","Your litany rails against the sin of sloth, interfering with the targetâ€™s ability to react.",
"Litany of Self-Interest","5","Focus","Will","Uncommon","Free","0","0","You give a speech that fills your target with a drive to improve themself to the exclusion of assisting others.",
"Ode to Ouroboros","5","Focus","None","Uncommon","Reaction","0","0","Your ode staves off death.",
"Over the Coals","5","Focus","Will","Rare","Activity","2","2","You accuse the target of breaking its word to you and invoke the wrath of your patron to claim what's due, demanding the target pay you in currency, fulfill an order, or stand down.",
"Pack Breaker","5","Focus","Will","Uncommon","Activity","2","2","You can deceive creatures by changing their perception of their alliesâ€™ behavior.",
"Pulverizing Wake","5","Focus","None","Uncommon","Activity","2","2","Imitating raptorial creatures, you attack with such speed it drives a sonic shockwave.",
"Restorative Moment","5","Focus","None","Uncommon","Activity","2","2","Your patron weaves the threads of time around the target, giving them some of the benefits of a day's passage.",
"Rewrite Possibility","5","Focus","None","Uncommon","Activity","2","2","You continually glimpse into the target's future and nudge fate to guide them toward the best possible outcome.",
"Shadow Jump","5","Focus","None","Uncommon","Activity","2","2","You instantly transport yourself from one shadow to another.",
"Shall Not Falter, Shall Not Rout","5","Focus","None","Rare","Free","0","0","Calling out the fifth line of the Crimson Oath, you seal your most grievous injuries with a stroke of your blade.",
"Shepherd of Souls","5","Focus","None","Uncommon","Reaction","0","0","You stay the hand of fate for one not yet destined to die, sacrificing some of your own vitality to heal them.",
"Spectral Advance","5","Focus","None","Uncommon","Activity","2","2","Taking on a spiritual form, you flash across the battlefield to engage an enemy.",
"Spellmaster's Ward","5","Focus","None","Uncommon","Activity","3","3","You create one or more glowing protective runes that revolve around you.",
"Steal the Sky","5","Focus","Fortitude","Uncommon","Reaction","0","0","You deny a flying creature the support of the air.",
"Symphony of the Unfettered Heart","5","Focus","None","Uncommon","Activity","2","2","Your symphony lifts listeners from their worldly concerns.",
"Terrain Transposition","5","Focus","None","Uncommon","Activity","2","2","You mystically transpose your current location with another.",
"Unblinking Flame Aura","5","Focus","None","Uncommon","Free","0","0","You focus your sight inside and call on your inner fire to grant you warmth, steady your vision, and soothe your body.",
"Unbreaking Wave Vapor","5","Focus","None","Uncommon","Reaction","0","0","You're concealed against the triggering attack and gain a +2 circumstance bonus to AC against it.",
"Unfolding Wind Buffet","5","Focus","None","Uncommon","Activity","2","2","You surround your unarmed attacks with the speed and force of air.",
"Untwisting Iron Roots","5","Focus","None","Uncommon","Free","0","0","You manipulate the earth beneath your feet to throw your enemies off balance, leaving chunks of rock and rubble behind.",
"Unusual Anatomy","5","Focus","None","Uncommon","Free","0","0","You transform your flesh and organs into a bizarre amalgam of glistening skin, rough scales, tufts of hair, and tumorous protuberances.",
"Wind Jump","5","Focus","None","Uncommon","Free","0","0","You gain a fly Speed equal to your Speed.",
"Wish-Twisted Form","5","Focus","Will","Uncommon","Activity","2","2","You focus your magic upon an enemy, wishing for their defenses to fail and turning their strengths into weaknesses.",
"Wronged Monk's Wrath","5","Focus","Reflex","Uncommon","Activity","3","3","You unleash your ki as a powerful storm of force and lightning.",
"You're Mine","5","Focus","Will","Uncommon","Activity","2","2","You manipulate the target's emotions, potentially allowing you to control it for a brief instant.",
"Ancestral Form","6","Focus","None","Uncommon","Activity","2","2","You take the form of your ancestral spirits, becoming invisible and quasi-corporeal.",
"Ash Form","6","Focus","None","Uncommon","Activity","2","2","You take the form of a cloud of minuscule ash particles.",
"Champion's Sacrifice","6","Focus","None","Uncommon","Reaction","0","0","You form a link with an ally, allowing you to take harm in their stead.",
"Claim Undead","6","Focus","Will","Uncommon","Activity","2","2","You attempt to wrest control of a target undead or force it to recognize you as its master.",
"Dread Secret","6","Focus","Will","Uncommon","Activity","2","2","You utter a powerful secret at odds with the fundamental nature of the target creatures.",
"Flaming Fusillade","6","Focus","None","Uncommon","Activity","2","2","You call upon an endless barrage of flames, a series of explosions bursting around you like miniature suns.",
"For Love, For Lightning","6","Focus","None","Uncommon","Activity","3","3","When you Cast the Spell, you plunge the required weapon into the ground, where it crackles with crimson lightning.",
"Heroic Feat","6","Focus","None","Uncommon","Activity","3","3","You gain the ability to perform a specialized combat technique from the vast wealth of martial knowledge your mystery provides.",
"Life-Giving Form","6","Focus","None","Uncommon","Activity","2","2","You transcend your physical form, becoming a beacon of healing energy.",
"Manifold Lives","6","Focus","Will","Uncommon","Activity","2","2","You cast a creature's mind back through time, forcing them to take other paths and make other choices, experiencing countless alternate lives in an instant.",
"Moonlight Bridge","6","Focus","None","Uncommon","Activity","2","2","You summon a bridge of radiant, shimmering moonlight.",
"Primal Summons","6","Focus","None","Uncommon","Activity","1","1","You enhance a summoned creature with the power of the elements.",
"Revel in Retribution","6","Focus","None","Uncommon","Free","0","0","Time seems to slow for you, allowing you to strike your opponents mid-move.",
"Shadow Illusion","6","Focus","None","Uncommon","Activity","2","2","You create a shadowy illusion of a creature or a stationary object, but the illusion can exist only in an area of dim light or darkness.",
"Shambling Horror","6","Focus","None","Uncommon","Activity","3","3","You reanimate the corpse of a fallen creature as an undead minion under your control.",
"Speaking Sky","6","Focus","None","Uncommon","Activity","2","2","The air speaks to you.",
"Tempest Form","6","Focus","None","Uncommon","Activity","2","2","Your body becomes fluid.",
"Darklight","7","Focus","None","Uncommon","Activity","3","3","Shadows pour forth from your eyes, creating a field of darkness that prevents light from emanating within the area.",
"Hasted Assault","7","Focus","None","Uncommon","Free","0","0","You call upon your magic to speed up your attacks.",
"Litany of Depravity","7","Focus","None","Uncommon","Free","0","0","Your litany calls into question the morals your foe claims to hold dear.",
"Litany of Righteousness","7","Focus","None","Uncommon","Free","0","0","Your litany denounces an evildoer, rendering it susceptible to the powers of good.",
"Shadow's Web","7","Focus","Fortitude","Uncommon","Activity","2","2","Grasping darkness surges from you, dealing 14d4 void damage.",
"Soothing Ballad","7","Focus","None","Uncommon","Activity","2","2","You draw upon your muse to soothe your allies.",
"Unblinking Flame Emblem","7","Focus","None","Uncommon","Free","0","0","You emblazon the target with a fiery sigil that projects your sight and your flame onto them, allowing you and your allies to track their movements and making it easier to hit them.",
"Unbreaking Wave Barrier","7","Focus","Fortitude","Uncommon","Free","0","0","You create a protective circle around yourself that repels your foes.",
"Unfolding Wind Blitz","7","Focus","None","Uncommon","Activity","2","2","You blitz forward so quickly that you soar through the air, and nothing can react to you.",
"Untwisting Iron Augmentation","7","Focus","None","Uncommon","Free","0","0","Your unarmed attacks are treated as cold iron and silver, they gain the earth trait, and they gain a +1 status bonus to damage rolls per damage die.",
"Impaling Briars","8","Focus","None","Uncommon","Activity","3","3","The ground within the area transforms into a mass of dangerous briars that assault and impede your foes.",
"Medusa's Wrath","8","Focus","None","Uncommon","Activity","2","2","You make an attack filled with a medusa's petrifying power.",
"Touch of Death","8","Focus","Fortitude","Uncommon","Activity","2","2","Make a melee unarmed Strike.",
"Embrace Nothingness","9","Focus","None","Uncommon","Activity","2","2","You empty your body of substance, becoming one with nothingness.",
"Qi Form","9","Focus","None","Uncommon","Free","0","0","Drawing from deep wells of spiritual power, you take on a special qi form.",
"Storm Lord","9","Focus","None","Uncommon","Activity","2","2","The sky above you darkens in a matter of moments, swirling with ominous clouds punctuated by flashes of lighting.",
"Unblinking Flame Ignition","9","Focus","None","Uncommon","Reaction","0","0","You feel the most alive when pushed into a corner, as the insights and vision granted by the flame stoke into overdrive.",
"Unbreaking Wave Containment","9","Focus","None","Uncommon","Activity","3","3","You wrap enemies in four strands of water.",
"Unfolding Wind Crash","9","Focus","None","Uncommon","Activity","2","2","You jump up to 120 feet in any direction and then deal 18d6 bludgeoning damage to creatures within a 20-foot emanation after you land, with a basic Reflex save.",
"Untwisting Iron Pillar","9","Focus","None","Uncommon","Free","0","0","You call upon the earth and your ki to shield you from your enemies.",
"Apex Companion","10","Focus","None","Uncommon","Activity","2","2","Transform your animal companion into an apex form.",
"Fatal Aria","10","Focus","None","Uncommon","Free","0","0","You perform music so perfect that the target may die of joy or sorrow.",
"Hero's Defiance","10","Focus","None","Uncommon","Activity","1","1","You shout in defiance and are filled with a burst of healing.",
"Pied Piping","10","Focus","Will","Uncommon","Activity","2","2","Your performance enraptures listeners, compelling them to follow you.",
"Song of the Fallen","10","Focus","None","Uncommon","Activity","2","2","Rouse the dead or smite the undead.",
"Acidic Burst","1","Spell","None","Common","Activity","2","2","You create a shell of acid around yourself that immediately bursts outward.",
"Admonishing Ray","1","Spell","None","Common","Activity","2","2","A ray of energy bludgeons your target into submission without causing lasting harm.",
"Agitate","1","Spell","Will","Common","Activity","2","2","You send the targetâ€™s mind and body into overdrive, forcing it to become restless and hyperactive.",
"Air Bubble","1","Spell","None","Common","Reaction","0","0","React to create air for a creature to breathe.",
"Airburst","1","Spell","None","Uncommon","Free","0","0","A blast of wind wildly pushes everything nearby.",
"Alarm","1","Spell","None","Common","Activity","1","1","Be alerted if a creature enters a warded area.",
"Animal Allies","1","Spell","None","Common","Activity","2","2","Summon animals to briefly attack adjacent foes.",
"Animate Rope","1","Spell","None","Common","Activity","2","2","Command a rope to move and tie as you wish.",
"Ant Haul","1","Spell","None","Common","Activity","2","2","Target can carry more.",
"Anticipate Peril","1","Spell","None","Common","Activity","2","2","You grant the target brief foresight.",
"Aqueous Blast","1","Spell","None","Rare","Free","0","0","You evoke a mass of water into the air around your outstretched fist.",
"Bane","1","Spell","Will","Common","Activity","2","2","Weaken enemies' attacks in an aura around you.",
"Befuddle","1","Spell","Will","Common","Activity","2","2","You sow seeds of confusion in your targetâ€™s mind, causing their actions and thoughts to become clumsy.",
"Biting Words","1","Spell","None","Common","Activity","2","2","Hurl sonic taunts to hurt creatures.",
"Bless","1","Spell","None","Common","Activity","2","2","Strengthen allies' attacks in an aura around you.",
"Breadcrumbs","1","Spell","None","Common","Activity","1","1","Make a trail behind a creature.",
"Breathe Fire","1","Spell","None","Common","Activity","2","2","Release a small cone of flame from your mouth.",
"Briny Bolt","1","Spell","None","Common","Activity","2","2","You hurl a bolt of saltwater from your extended hand.",
"Buffeting Winds","1","Spell","Reflex","Common","Activity","2","2","You release a quick burst of wind that batters your living opponents without causing them lasting harm, while also blowing undead away.",
"Buoyant Bubbles","1","Spell","None","Common","Free","0","0","Create bubbles that make a creature buoyant.",
"Camel Spit","1","Spell","None","Common","Activity","2","2","You alter your stomach, esophagus, and tongue to be able to spit partially digested food with force.",
"Carryall","1","Spell","None","Common","Activity","2","2","A floating platform follows you, carrying objects.",
"Celestial Accord","1","Spell","Will","Uncommon","Activity","2","2","You intervene in a heated disagreement between two creatures, encouraging them to put aside their differences and find some common ground.",
"Charm","1","Spell","Will","Common","Activity","2","2","A creature becomes more friendly to you.",
"Chilling Spray","1","Spell","Reflex","Common","Activity","2","2","Icy shards fly out from you in a cone.",
"Cleanse Cuisine","1","Spell","None","Common","Activity","2","2","Make food and drink safe and delicious.",
"Command","1","Spell","Will","Common","Activity","2","2","Bid a creature approach, run, drop something, lie prone, or stand up.",
"Concordant Choir","1","Spell","None","Common","Activity","3","3","Damage foes with music.",
"Conductive Weapon","1","Spell","None","Common","Activity","2","2","Charge a metal weapon with electricity.",
"Create Water","1","Spell","None","Common","Activity","2","2","Conjure 2 gallons of water.",
"Cycle of Retribution","1","Spell","None","Uncommon","Activity","2","2","An understanding of how violence begets more violence fills your target, causing it mental anguish",
"Dehydrate","1","Spell","None","Common","Activity","2","2","Make creatures parched, damaging and enfeebling them.",
